hist_id,event_attr_id,event_timestamp,release_label,time,actual,forecast,previous
540003,173,2026-02-02 15:00:00,"Feb 02, 2026  (Jan)",10:00,,,47.9
538056,173,2026-01-05 15:00:00,"Jan 05, 2026  (Dec)",10:00,47.9,48.3,48.2
535646,173,2025-12-01 15:00:00,"Dec 01, 2025  (Nov)",10:00,48.2,49.0,48.7
533837,173,2025-11-03 15:00:00,"Nov 03, 2025  (Oct)",10:00,48.7,49.4,49.1
531773,173,2025-10-01 14:00:00,"Oct 01, 2025  (Sep)",09:00,49.1,49.0,48.7
529785,173,2025-09-02 14:00:00,"Sep 02, 2025  (Aug)",09:00,48.7,49.0,48.0
527874,173,2025-08-01 14:00:00,"Aug 01, 2025  (Jul)",09:00,48.0,49.5,49.0
525718,173,2025-07-01 14:00:00,"Jul 01, 2025  (Jun)",09:00,49.0,48.8,48.5
523763,173,2025-06-02 14:00:00,"Jun 02, 2025  (May)",09:00,48.5,49.3,48.7
521665,173,2025-05-01 14:00:00,"May 01, 2025  (Apr)",09:00,48.7,48.0,49.0
519633,173,2025-04-01 14:00:00,"Apr 01, 2025  (Mar)",09:00,49.0,49.5,50.3
517648,173,2025-03-03 15:00:00,"Mar 03, 2025  (Feb)",10:00,50.3,50.6,50.9
515594,173,2025-02-03 15:00:00,"Feb 03, 2025  (Jan)",10:00,50.9,49.3,49.2
513816,173,2025-01-03 15:00:00,"Jan 03, 2025  (Dec)",10:00,49.3,48.2,48.4
511639,173,2024-12-02 15:00:00,"Dec 02, 2024  (Nov)",10:00,48.4,47.7,46.5
509570,173,2024-11-01 14:00:00,"Nov 01, 2024  (Oct)",09:00,46.5,47.6,47.2
507408,173,2024-10-01 14:00:00,"Oct 01, 2024  (Sep)",09:00,47.2,47.6,47.2
505558,173,2024-09-03 14:00:00,"Sep 03, 2024  (Aug)",09:00,47.2,47.5,46.8
503482,173,2024-08-01 14:00:00,"Aug 01, 2024  (Jul)",09:00,46.8,48.8,48.5
501400,173,2024-07-01 14:00:00,"Jul 01, 2024  (Jun)",09:00,48.5,49.2,48.7
499364,173,2024-06-03 14:00:00,"Jun 03, 2024  (May)",09:00,48.7,49.8,49.2
497186,173,2024-05-01 14:00:00,"May 01, 2024  (Apr)",09:00,49.2,50.0,50.3
495105,173,2024-04-01 14:00:00,"Apr 01, 2024  (Mar)",09:00,50.3,48.5,47.8
493072,173,2024-03-01 15:00:00,"Mar 01, 2024  (Feb)",10:00,47.8,49.5,49.1
490979,173,2024-02-01 15:00:00,"Feb 01, 2024  (Jan)",10:00,49.1,47.2,47.1
488952,173,2024-01-03 15:00:00,"Jan 03, 2024  (Dec)",10:00,47.4,47.1,46.7
486713,173,2023-12-01 15:00:00,"Dec 01, 2023  (Nov)",10:00,46.7,47.6,46.7
484520,173,2023-11-01 14:00:00,"Nov 01, 2023  (Oct)",09:00,46.7,49.0,49.0
482542,173,2023-10-02 14:00:00,"Oct 02, 2023  (Sep)",09:00,49.0,47.7,47.6
480651,173,2023-09-01 14:00:00,"Sep 01, 2023  (Aug)",09:00,47.6,47.0,46.4
478635,173,2023-08-01 14:00:00,"Aug 01, 2023  (Jul)",09:00,46.4,46.8,46.0
476809,173,2023-07-03 14:00:00,"Jul 03, 2023  (Jun)",09:00,46.0,47.2,46.9
474676,173,2023-06-01 14:00:00,"Jun 01, 2023  (May)",09:00,46.9,47.0,47.1
472035,173,2023-05-01 14:00:00,"May 01, 2023  (Apr)",09:00,47.1,46.8,46.3
469849,173,2023-04-03 14:00:00,"Apr 03, 2023  (Mar)",09:00,46.3,47.5,47.7
