ref_year,ref_month,value,release_date
1969,12,52.0,1970-01-01
1970,1,48.7,1970-02-01
1970,2,47.4,1970-03-01
1970,3,46.9,1970-04-01
1970,4,45.0,1970-05-01
1970,5,47.2,1970-06-01
1970,6,51.1,1970-07-01
1970,7,49.5,1970-08-01
1970,8,47.3,1970-09-01
1970,9,44.1,1970-10-01
1970,10,42.4,1970-11-01
1970,11,39.7,1970-12-01
1970,12,45.4,1971-01-01
1971,1,47.9,1971-02-01
1971,2,54.8,1971-03-01
1971,3,51.2,1971-04-01
1971,4,54.5,1971-05-01
1971,5,54.2,1971-06-01
1971,6,53.8,1971-07-01
1971,7,54.4,1971-08-01
1971,8,53.6,1971-09-01
1971,9,55.1,1971-10-01
1971,10,55.0,1971-11-01
1971,11,52.3,1971-12-01
1971,12,57.6,1972-01-01
1972,1,59.6,1972-02-01
1972,2,60.6,1972-03-01
1972,3,59.8,1972-04-01
1972,4,59.3,1972-05-01
1972,5,61.4,1972-06-01
1972,6,58.6,1972-07-01
1972,7,60.1,1972-08-01
1972,8,61.7,1972-09-01
1972,9,65.1,1972-10-01
1972,10,67.0,1972-11-01
1972,11,69.9,1972-12-01
1972,12,70.5,1973-01-01
1973,1,72.1,1973-02-01
1973,2,69.6,1973-03-01
1973,3,69.6,1973-04-01
1973,4,67.7,1973-05-01
1973,5,64.8,1973-06-01
1973,6,65.0,1973-07-01
1973,7,57.8,1973-08-01
1973,8,62.7,1973-09-01
1973,9,63.5,1973-10-01
1973,10,66.2,1973-11-01
1973,11,68.1,1973-12-01
1973,12,63.6,1974-01-01
1974,1,62.1,1974-02-01
1974,2,58.6,1974-03-01
1974,3,61.8,1974-04-01
1974,4,59.9,1974-05-01
1974,5,55.7,1974-06-01
1974,6,54.7,1974-07-01
1974,7,54.8,1974-08-01
1974,8,52.9,1974-09-01
1974,9,46.2,1974-10-01
1974,10,42.7,1974-11-01
1974,11,37.9,1974-12-01
1974,12,30.9,1975-01-01
1975,1,30.7,1975-02-01
1975,2,34.4,1975-03-01
1975,3,31.6,1975-04-01
1975,4,37.5,1975-05-01
1975,5,41.2,1975-06-01
1975,6,45.1,1975-07-01
1975,7,47.2,1975-08-01
1975,8,51.4,1975-09-01
1975,9,54.4,1975-10-01
1975,10,55.5,1975-11-01
1975,11,54.5,1975-12-01
1975,12,54.9,1976-01-01
1976,1,58.8,1976-02-01
1976,2,61.5,1976-03-01
1976,3,58.4,1976-04-01
1976,4,60.6,1976-05-01
1976,5,58.8,1976-06-01
1976,6,58.2,1976-07-01
1976,7,55.9,1976-08-01
1976,8,54.5,1976-09-01
1976,9,53.6,1976-10-01
1976,10,53.5,1976-11-01
1976,11,51.7,1976-12-01
1976,12,56.6,1977-01-01
1977,1,54.8,1977-02-01
1977,2,55.0,1977-03-01
1977,3,58.4,1977-04-01
1977,4,56.9,1977-05-01
1977,5,59.7,1977-06-01
1977,6,56.8,1977-07-01
